scientificName,verbatimScientificName,countryCode,locality,stateProvince,occurrenceStatus,individualCount,publishingOrgKey,decimalLatitude,decimalLongitude,coordinateUncertaintyInMeters,coordinatePrecision,elevation,elevationAccuracy,depth,depthAccuracy,eventDate,day,month,year,taxonKey,speciesKey,basisOfRecord,institutionCode,collectionCode,catalogNumber,recordNumber,identifiedBy,dateIdentified,license,rightsHolder,recordedBy,typeStatus,establishmentMeans,lastInterpreted,mediaType,issue
" 1823)	Pachyramphus validus		BR	Brazil - Espirito Santo			1	c8d737e0-2ff8-42e8-b8fc-6b805d26fc5f	-20.500841	-41.022385	25.0						2019-11-01T00:00:00	1	11	2019	5230321	5230321	HUMAN_OBSERVATION		Observations	OBS.181811683				CC_BY_NC_4_0	Stichting Natuurinformatie				2020-08-19T16:07:31.435Z		COORDINATE_ROUNDED",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
" 1811)	Tersina viridis		BR	Brazil - Rio de Janeiro			1	c8d737e0-2ff8-42e8-b8fc-6b805d26fc5f	-23.232548	-44.745808	25.0						2019-04-03T00:00:00	3	4	2019	2488545	2488545	HUMAN_OBSERVATION		Observations	OBS.169662339				CC_BY_NC_4_0	Stichting Natuurinformatie				2020-08-19T16:05:51.846Z		COORDINATE_ROUNDED",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
" 1766)	Thraupis sayaca		BR	Brazil - REGUA - Guapiacu Watershed			2	c8d737e0-2ff8-42e8-b8fc-6b805d26fc5f	-22.472015	-42.787544	25.0						2019-08-23T00:00:00	23	8	2019	2488622	2488622	HUMAN_OBSERVATION		Observations	OBS.178491658				CC_BY_NC_4_0	Stichting Natuurinformatie				2020-08-19T16:06:06.211Z		COORDINATE_ROUNDED",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
" 1789)	Phalacrocorax brasilianus		BR	Brazil - Rio de Janeiro			1	c8d737e0-2ff8-42e8-b8fc-6b805d26fc5f	-22.991606	-43.232651	25.0						2019-09-21T00:00:00	21	9	2019	9399113	9399113	HUMAN_OBSERVATION		Observations	OBS.180017232				CC_BY_NC_4_0	Stichting Natuurinformatie				2020-08-19T16:07:18.632Z	StillImage	COORDINATE_ROUNDED",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
" 1766)	Dacnis cayana		BR	Brazil - Ceará			1	c8d737e0-2ff8-42e8-b8fc-6b805d26fc5f	-4.265989	-38.917234	65.0						2019-07-30T00:00:00	30	7	2019	2488352	2488352	HUMAN_OBSERVATION		Observations	OBS.177210075				CC_BY_NC_4_0	Stichting Natuurinformatie				2020-08-19T16:07:20.834Z		COORDINATE_ROUNDED",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
" 1766)	Dacnis cayana		BR	Brazil - Ceará			2	c8d737e0-2ff8-42e8-b8fc-6b805d26fc5f	-4.265699	-38.917167	5.0						2019-07-26T00:00:00	26	7	2019	2488352	2488352	HUMAN_OBSERVATION		Observations	OBS.176995676				CC_BY_NC_4_0	Stichting Natuurinformatie				2020-08-19T16:06:31.772Z		COORDINATE_ROUNDED",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
" 1782)	Egretta thula		BR	Brazil - Ceará			1	c8d737e0-2ff8-42e8-b8fc-6b805d26fc5f	-4.693594	-37.353067	5.0						2018-12-04T00:00:00	4	12	2018	2480873	2480873	HUMAN_OBSERVATION		Observations	OBS.168455627				CC_BY_NC_4_0	Stichting Natuurinformatie				2020-08-19T16:05:21.926Z		COORDINATE_ROUNDED",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
" 1782)	Egretta thula		BR	Brazil - Sao Paulo			3	c8d737e0-2ff8-42e8-b8fc-6b805d26fc5f	-23.673729	-46.531067	25.0						2020-03-01T00:00:00	1	3	2020	2480873	2480873	HUMAN_OBSERVATION		Observations	OBS.187909264				CC_BY_NC_4_0	Stichting Natuurinformatie				2020-08-19T16:08:24.076Z		COORDINATE_ROUNDED",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
" 1783)	Gallinago undulata		BR	Brazil - REGUA - Guapiacu Watershed			1	c8d737e0-2ff8-42e8-b8fc-6b805d26fc5f	-22.482176	-42.761395	25.0						2019-08-24T00:00:00	24	8	2019	2481812	2481812	HUMAN_OBSERVATION		Observations	OBS.178499533				CC_BY_NC_4_0	Stichting Natuurinformatie				2020-08-19T16:07:11.828Z		COORDINATE_ROUNDED",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
" 1793)	Coragyps atratus		BR	Brazil - REGUA - The Lodge gardens			1	c8d737e0-2ff8-42e8-b8fc-6b805d26fc5f	-22.450897	-42.771107	25.0						2019-08-23T00:00:00	23	8	2019	2481942	2481942	HUMAN_OBSERVATION		Observations	OBS.178420202				CC_BY_NC_4_0	Stichting Natuurinformatie				2020-08-19T16:07:03.870Z		COORDINATE_ROUNDED",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
" 1783)	Tigrisoma lineatum		BR	Brazil - REGUA - Wetland Trail			1	c8d737e0-2ff8-42e8-b8fc-6b805d26fc5f	-22.450226	-42.772041	25.0						2019-08-23T00:00:00	23	8	2019	2480869	2480869	HUMAN_OBSERVATION		Observations	OBS.178420158				CC_BY_NC_4_0	Stichting Natuurinformatie				2020-08-19T16:07:03.870Z		COORDINATE_ROUNDED",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
" 1766)	Fluvicola nengeta		BR	Brazil - Sao Paulo			2	c8d737e0-2ff8-42e8-b8fc-6b805d26fc5f	-23.588736	-46.657711	25.0						2020-03-03T00:00:00	3	3	2020	5229568	5229568	HUMAN_OBSERVATION		Observations	OBS.187912157				CC_BY_NC_4_0	Stichting Natuurinformatie				2020-08-19T15:46:23.505Z		COORDINATE_ROUNDED",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
" 1823	Troglodytes aedon musculus		BR	Brazil - Espirito Santo			1	c8d737e0-2ff8-42e8-b8fc-6b805d26fc5f	-19.935942	-40.59964	25.0						2019-11-02T00:00:00	2	11	2019	9152333	5231459	HUMAN_OBSERVATION		Observations	OBS.184291546				CC_BY_NC_4_0	Stichting Natuurinformatie				2020-08-19T16:07:29.822Z	StillImage	",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
" 1758)	Cacicus cela		BR	Brazil - Bahia			2	c8d737e0-2ff8-42e8-b8fc-6b805d26fc5f	-15.421729	-39.531823	25.0						2018-12-14T00:00:00	14	12	2018	5229832	5229832	HUMAN_OBSERVATION		Observations	OBS.168474138				CC_BY_NC_4_0	Stichting Natuurinformatie				2020-08-19T16:04:52.694Z		COORDINATE_ROUNDED",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
" 1766)	Fluvicola nengeta		BR	Brazil - Ceará			1	c8d737e0-2ff8-42e8-b8fc-6b805d26fc5f	-4.239408	-38.959258	10.0						2019-07-27T00:00:00	27	7	2019	5229568	5229568	HUMAN_OBSERVATION		Observations	OBS.177044552				CC_BY_NC_4_0	Stichting Natuurinformatie				2020-08-19T16:06:42.144Z		COORDINATE_ROUNDED",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
" 1776)	Tangara seledon		BR	Brazil - Itatiaia NP			10	c8d737e0-2ff8-42e8-b8fc-6b805d26fc5f	-22.4503	-44.610153	10.0						2003-07-11T00:00:00	11	7	2003	2488104	2488104	HUMAN_OBSERVATION		Observations	OBS.185165783				CC_BY_NC_4_0	Stichting Natuurinformatie				2020-08-19T16:07:37.696Z		COORDINATE_ROUNDED",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
" 1822	Hylophilus poicilotis		BR	Brazil - Itatiaia			1	c8d737e0-2ff8-42e8-b8fc-6b805d26fc5f	-22.373522	-44.756815	10.0						2017-03-14T00:00:00	14	3	2017	5230497	5230497	HUMAN_OBSERVATION		Observations	OBS.175362431				CC_BY_NC_4_0	Stichting Natuurinformatie				2020-08-19T16:06:18.116Z		COORDINATE_ROUNDED",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
" 1782)	Chelidoptera tenebrosa		BR	Brazil - Bahia			1	c8d737e0-2ff8-42e8-b8fc-6b805d26fc5f	-15.405637	-39.53353	10.0						2018-12-16T00:00:00	16	12	2018	5228262	5228262	HUMAN_OBSERVATION		Observations	OBS.165689693				CC_BY_NC_4_0	Stichting Natuurinformatie				2020-08-19T16:03:17.231Z	StillImage	COORDINATE_ROUNDED",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
" 1821	Thraupis palmarum		BR	Brazil - Itatiaia NP			1	c8d737e0-2ff8-42e8-b8fc-6b805d26fc5f	-22.406585	-44.624233	10.0						2017-03-13T00:00:00	13	3	2017	2488628	2488628	HUMAN_OBSERVATION		Observations	OBS.175363434				CC_BY_NC_4_0	Stichting Natuurinformatie				2020-08-19T16:06:08.582Z		COORDINATE_ROUNDED",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
" 1817)	Stelgidopteryx ruficollis		BR	Brazil - REGUA - Guapiacu Watershed			1	c8d737e0-2ff8-42e8-b8fc-6b805d26fc5f	-22.421257	-42.8156	10.0						2017-03-12T00:00:00	12	3	2017	2489203	2489203	HUMAN_OBSERVATION		Observations	OBS.175362532				CC_BY_NC_4_0	Stichting Natuurinformatie				2020-08-19T16:06:08.581Z		",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
" 1783)	Tigrisoma lineatum		BR	Brazil - REGUA - Wetland Trail			1	c8d737e0-2ff8-42e8-b8fc-6b805d26fc5f	-22.452832	-42.772556	10.0						2017-03-10T00:00:00	10	3	2017	2480869	2480869	HUMAN_OBSERVATION		Observations	OBS.175360717				CC_BY_NC_4_0	Stichting Natuurinformatie				2020-08-19T16:05:18.925Z		COORDINATE_ROUNDED",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
" 1793)	Coragyps atratus		BR	Brazil - Bahia			1	c8d737e0-2ff8-42e8-b8fc-6b805d26fc5f	-16.438753	-39.088814	15.0						2018-12-18T00:00:00	18	12	2018	2481942	2481942	HUMAN_OBSERVATION		Observations	OBS.165722241				CC_BY_NC_4_0	Stichting Natuurinformatie				2020-08-19T16:03:56.906Z		COORDINATE_ROUNDED",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
" 1819)	Machaeropterus regulus		BR	Brazil - Bahia			2	c8d737e0-2ff8-42e8-b8fc-6b805d26fc5f	-14.255736	-39.181911	25.0						2018-11-25T00:00:00	25	11	2018	2487747	2487747	HUMAN_OBSERVATION		Observations	OBS.165035491				CC_BY_NC_4_0	Stichting Natuurinformatie				2020-08-19T16:04:32.346Z	StillImage	COORDINATE_ROUNDED",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
" 1766)	Fluvicola nengeta		BR	Brazil - Rio de Janeiro			2	c8d737e0-2ff8-42e8-b8fc-6b805d26fc5f	-23.220734	-44.71206	5.0						2018-11-14T00:00:00	14	11	2018	5229568	5229568	HUMAN_OBSERVATION		Observations	OBS.164555781				CC_BY_NC_4_0	Stichting Natuurinformatie				2020-08-19T16:04:26.542Z		COORDINATE_ROUNDED",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
" 1819)	Laterallus leucopyrrhus		BR	Brazil - Sao Paulo			1	c8d737e0-2ff8-42e8-b8fc-6b805d26fc5f	-23.33	-45.18	1000.0						2019-11-07T00:00:00	7	11	2019	2474598	2474598	HUMAN_OBSERVATION		Observations	OBS.182001424				CC_BY_NC_4_0	Stichting Natuurinformatie				2020-08-19T16:07:14.290Z		",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
